,nombre,precio_publicado,precio_regular,categoria,SKU,url_producto,stock,descripcion
0,SMART TV PHILIPS ANDROID 43 PULGADAS FHD 43PFD6917/77,202499.0,202499,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,34230,https://portal.vtexcommercestable.com.br/smart-tv-philips-andriod-43-pulgadas-fhd-43pfd6917-77/p,1,"TV LED Smart Android de 43"" FHD (1920 x 1080). Optimizacion de la imagen HDR10, HLG, Pixel plus alta definicion. Potencia 2 x 8W RMS. Optimizacion del sonido: Nivelador automatico de volumen, Dialogo nitido, Dolby Atmos, Mejora de graves Dolby. Bluetooth 5.0. Wi Fi 802.11n, 2x2, doble banda. Entrada video componente HDM compatible HDR, HDR 10/HLG. 2 Entradas USB. 3 Entradas HDMI. Salida de auriculares, antena IEC75, conector de servicio, salida de audio digital. TV digital: ISDB-T. Sistema operativo Android TV 10. Aplicaciones preinstaladas: YouTube, Amazon Prime Video, Apple TV, Disney+, Aplicacion de fitness, Google Play Movies*, Google Play Music, Busqueda de Google, YouTube Music, Netflix. Tamano de la memoria (flash): 8 GB. Dimensiones del TV con soporte (alt-anch-prof) 58.7 x 95.8 x 22.7cm. Incluye 2 pilas AAA, cable alimentacion, soporte para mesa, control remoto."
1,"SMART TV 43"" PULGADAS PHILIPS FHD BLANCO 43PFD6927",194999.0,213199,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,35898,https://portal.vtexcommercestable.com.br/smart-tv-43-pulgadas-philips-fhd-blanco-43pfd6927/p,10,"<p style=""text-align: center;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;Este televisor Philips de 43"" color blanco encaja a la perfecci&oacute;n en cualquier parte. Las im&aacute;genes son n&iacute;tidas; el sonido, claro; y encima es inteligente: Android TV de Philips.</p><div class=""p-chapter-container""><dl class=""p-s08__main-list""><dd><div class=""p-body-copy-02 ""><dl class=""p-s08__main-list""><dd><div class=""p-body-copy-02 ""><p style=""text-align: center;""><br /><strong>Compacto y elegante.</strong><br /><br /><strong>Android TV LED FHD</strong></p><p style=""text-align: center;""><strong>108 cm (43"")</strong><br /><strong>Sonido Dolby Atmos</strong><br /><strong>Android/Control por voz con IA</strong><br /><strong>Control por voz. </strong><br /><strong>El Asistente de Google.</strong></p><p style=""text-align: center;"">Admite barras de sonido compatibles con Dolby Atmos.</p><p style=""text-align: center;"">Sencillamente inteligente. Android TV.</p><h3 style=""text-align: center;"">Especificaciones t&eacute;cnicas</h3><p style=""text-align: center;""><strong>Imagen / pantalla</strong><br /><strong>Pantalla</strong></p><p style=""text-align: center;"">Resoluci&oacute;n de panel 1920 x 1080p<br />Relaci&oacute;n de aspecto 16:9<br />Optimizaci&oacute;n de la imagen<br />HDR10<br />HLG (Hybrid Log Gamma)<br />Pixel Plus alta definici&oacute;n<br />Tama&ntilde;o diagonal de pantalla (pulgadas) 43<br />Tama&ntilde;o de pantalla en diagonal (m&eacute;trico) 108<br /><br /><strong>Sintonizador/recepci&oacute;n/transmisi&oacute;n</strong></p><p style=""text-align: center;"">Compatibilidad con MPEG<br />MPEG2<br />MPEG4<br />Reproducci&oacute;n de video<br />PAL<br />SECAM<br />NTSC<br />Gu&iacute;a de programaci&oacute;n de televisi&oacute;n*<br />Gu&iacute;a electr&oacute;nica de programaci&oacute;n de 8 d&iacute;as<br />TV digital<br />ISDB-T<br />Compatibilidad HEVC S&iacute;<br /><br /><strong>Conectividad</strong></p><p style=""text-align: center;"">Cantidad de conexiones HDMI 3<br />Cantidad de puertos USB 2<br />Otras conexiones<br />Salida de auriculares<br />Antena IEC75<br />Conector de servicio<br />Salida de audio digital (&oacute;ptica)<br />Ethernet-LAN RJ-45<br />Conexi&oacute;n inal&aacute;mbrica<br />Bluetooth 5.0<br />Wi-Fi 802.11n, 2x2, doble banda<br />Funciones HDMI<br />Audio Return Channel<br />EasyLink (HDMI-CEC)<br />Reproducci&oacute;n con un solo bot&oacute;n<br />Control remoto de gran alcance<br />Control de audio del sistema<br />Modo de espera del sistema<br />HDCP 2.3<br />S&iacute; en todas las conexiones HDMI<br />HDMI ARC<br />S&iacute;, en la conexi&oacute;n HDMI1<br />Salida de sonido digital SPDIF<br />1 (&oacute;ptica)<br /><br /><strong>Aplicaciones multimedia</strong></p><p style=""text-align: center;"">Formatos de reproducci&oacute;n de video<br />Contenedores: AVI, MKV<br />H264/MPEG-4 AVC<br />MPEG-1<br />MPEG-2<br />MPEG-4<br />VP9<br />AV1<br />HEVC (H.265)<br /><strong>Formatos de subt&iacute;tulos compatibles</strong><br />.SMI<br />.SRT<br />.SUB<br />.TXT<br />.ASS<br />.SSA<br /><strong>Formatos de reproducci&oacute;n de m&uacute;sica</strong><br />AAC<br />MP3<br />WAV<br />WMA (v2 hasta v9.2)<br />WMA-PRO (v9 y v10)<br /><br /><strong>Formatos de reproducci&oacute;n de imagen</strong><br />JPEG<br />GIF<br />PNG<br />HEIF<br />BMP<br /><br /><strong>Alimentaci&oacute;n</strong><br />CA 110-240 V 50/60 Hz<br />Consumo de energ&iacute;a en modo de espera<br />&lt;0,5W<br />Temperatura ambiente<br />5 &deg;C a 35 &deg;C<br />Funciones de ahorro de energ&iacute;a<br />Timer de apagado autom&aacute;tico<br />Modo ecol&oacute;gico<br />Sensor de luz<br />Silenciamiento de imagen (para radio)<br /><br /><strong>Sonido</strong></p><p style=""text-align: center;"">Potencia de salida (RMS)<br />16 W<br />Configuraci&oacute;n del parlante<br />Altavoz de 8 W x2<br />Optimizaci&oacute;n del sonido<br />Nivelador autom&aacute;tico de volumen<br />Di&aacute;logo n&iacute;tido<br />Dolby Atmos<br />Mejora de graves Dolby<br /><br /><strong>Dimensiones</strong></p><p style=""text-align: center;"">Ancho de la caja 1070<br />Altura de la caja 650<br />Profundidad de la caja 140<br />Ancho del equipo 958<br />Altura del equipo 568<br />Profundidad del equipo 82<br />Ancho del producto (con soporte) 958<br />Altura del producto (con soporte) 587<br />Profundidad del producto (con soporte) 227<br />Peso del producto 7,2<br />Peso del producto (+ soporte) 7,13<br />Peso con embalaje incluido 9,4<br />Compatible con soporte de pared 100 x 200 mm<br /><br /><strong>Accesorios</strong></p><p style=""text-align: center;"">Accesorios incluidos<br />2 pilas AAA<br />Cable de alimentaci&oacute;n<br />Gu&iacute;a de inicio r&aacute;pida<br />Folleto legal y de seguridad<br />Soporte para la mesa<br />Control remoto<br /><br /><strong>Android TV</strong></p><p style=""text-align: center;"">Sistema operativo<br />Android TV&trade; 10 (Q)<br />Aplicaciones preinstaladas<br />YouTube<br />Amazon Prime Video<br />Disney+<br />Google Play Movies<br />Google Play Music<br />B&uacute;squeda de Google<br />YouTube Music<br />Netflix<br />Tama&ntilde;o de la memoria (flash) 8 GB</p></div></dd></dl></div></dd></dl></div><p style=""text-align: center;""><span>&nbsp;</span></p>"
2,SMART TV ANDROID PHILIPS 50 PULGADAS 4K UHD 50PUD7406/77,239999.0,239999,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,29391,https://portal.vtexcommercestable.com.br/smart-50-philips-50pud7406-77/p,6,"<p style=""text-align: center;""><strong>Sistema Operativo Android 10</strong><br /><strong>Modelo 50PUD7406/77&nbsp;</strong><br />Control por voz con el Asistente de Google.<br />HDR para im&aacute;genes brillantes.<br />Dise&ntilde;o atractivo y ultra fino, con marco negro mate Dolby Vision y Dolby Atmos para visi&oacute;n y sonido cinematogr&aacute;fico.<br />Se puede personalizar la pantalla de inicio para mostrar las apps preferidas, facilitando la reproducci&oacute;n de las pel&iacute;culas y los programas favoritos<br />Ideal para jugar con cualquier consola gracias a su bajo tiempo de latencia<br />Garant&iacute;a: 1 a&ntilde;o <br />Origen: Argentina.<br /><br /><strong>CARACTER&Iacute;STICAS DE PANTALLA</strong><br />Pulgadas 50<br />Resoluci&oacute;n De Video 4K Ultra HD<br />Resoluci&oacute;n 3840x2160<br />Radio De Aspecto 16:9<br />Tipo de TV Smart TV<br /><br /><strong>FUNCIONES ESPECIALES</strong><br />Smart Tv Si<br />Youtube Si<br />Netflix Si<br /><br /><strong>SONIDO</strong><br />Parlantes 2<br />Potencia De Parlantes 20 W<br /><br /><strong>CONECTIVIDAD</strong><br />Puerto Ethernet Si<br />Salida Para Auriculares Si<br />Bluetooth Si<br />Entradas Hdmi 4<br />Entradas Usb 2<br />OBSERVACIONES<br />Garantia 12 Meses<br /><br /><strong>PANTALLA</strong><br />Tipo De Pantalla LED<br /><br /><strong>DIMENSIONES</strong><br />Ancho 111.3 Cm<br />Profundidad 8.7 Cm<br />Alto 64.7 Cm<br /><br /><strong>DIMENSIONES (CON BASE)</strong><br />Alto (con Base) 67 Cm<br />Ancho (con Base) 111 Cm<br />Profundidad (con Base) 24.8 Cm</p>"
3,SMART TV PHILIPS 32 PULGADAS HD ANDROID 32PHD6927 BLANCO,155199.0,155199,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,37926,https://portal.vtexcommercestable.com.br/smart-tv-philips-32-pulgadas-hd-android-32phd6927-blanco/p,5,"""Televisor Smart / Android. Pantalla: TV LED HD. Resolucion de panel: 1366 x 768 p. Relacion de aspecto: 16:9. Optimizacion de la imagen: HDR10, HLG (Hybrid Log Gamma), Pixel Plus alta definicion. Tamano diagonal de pantalla: 32 pulgadas / 80 cm. Cantidad de conexiones HDMI: 3. Cantidad de puertos USB: 2. WIFI. Bluetooth. Potencia de salida (RMS): 10 W. Configuracion del parlante: Altavoz de 5 W x2. Optimizacion del sonido: Nivelador automatico de volumen, Dialogo nitido, Dolby Atmos, Mejora de graves Dolby. Sistema operativo: Android TV 10 (Q). Aplicaciones preinstaladas: YouTube, Amazon, Prime Video, Apple TV, Disney+, Aplicacion de fitness, Google Play Movies, Google Play Music, Busqueda de Google, Netflix, YouTube Music. Tamano de la memoria (flash): 8 GB. Control por voz con IA: Presiona un boton del control remoto para hablar con el Asistente de Google. Controla el televisor o los dispositivos inteligentes para el hogar compatibles con el Asistente de Google usando tu voz. """
4,SMART TV AOC 50 PULGADAS 4K 50U6295/77G,217839.0,217839,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,6468,https://portal.vtexcommercestable.com.br/smart-tv-aoc-50-pulgadas-4k-50u6295-77g/p,2,"<p style=""text-align: center;""><br /><strong>SMART TV AOC 50 PULGADAS 4K 50U6295/77G</strong><br />Caracter&iacute;sticas generales<br />Marca AOC<br />Modelo 50U6295<br />Voltaje 220V<br /><br /><strong>Especificaciones</strong><br />Es smart S&iacute;<br />Conectividad<br />Con USB S&iacute;<br />Con HDMI S&iacute;<br />Cantidad de puertos HDMI 3<br />Cantidad de puertos USB 2<br />Con Wi-Fi S&iacute;<br /><br /><strong>Sonido</strong><br />Cantidad de parlantes 2<br />Potencia m&aacute;xima de los parlantes 16 W<br />Modos de sonido<br />Dolby Digital<br /><br /><strong>Pantalla</strong><br />Tipo de pantalla LED<br />Tama&ntilde;o de la pantalla 50 ""<br />Tipo de resoluci&oacute;n 4K<br />Con HDR S&iacute;<br />Resoluci&oacute;n m&aacute;xima 3840 px - 2160 px<br />Relaci&oacute;n de aspecto 16:9<br />Relaci&oacute;n de contraste 200000:1<br />Brillo 260 cd/m&sup2;<br /><br /><strong>Peso y dimensiones</strong><br />Ancho x Profundidad x Altura<br />1128 mm x 86 mm x 659 mm<br />Peso 11.4 kg<br /><br /><strong>Accesorios incluidos</strong><br />Control remoto, Cable de alimentaci&oacute;n<br />Tecnolog&iacute;a<br />Apps integradas<br />Netflix, YouTube</p>"
5,Smart Tv Led 32 AOC 32S5295/77G,136679.0,136679,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,8263,https://portal.vtexcommercestable.com.br/smart-tv-led-32-aoc-32s5295-77g/p,7,"<p style=""text-align: center;""><strong>SMART TV LED 32 AOC 32S5295/77G&nbsp;Smart TV HD</strong><br /><br /><strong>PANTALLA</strong><br />Tipo Pantalla LED<br /><br /><strong>CARACTER&Iacute;STICAS DE PANTALLA</strong><br />Pulgadas 32<br />Resoluci&oacute;n De Video HD<br />Frecuencia De Refresco De Pantalla 60 Hz<br />Resoluci&oacute;n 1366x768<br /><br /><strong>FUNCIONES ESPECIALES</strong><br />Smart Tv Si<br />Youtube Si<br />Netflix Si<br /><br /><strong>SONIDO</strong><br />Parlantes 2<br />Potencia De Parlantes 10 W W<br />Funci&oacute;n De Sonido Dolby Digital DTS<br />Modos De Sonido SAP/Mono/Stereo<br /><br /><strong>DIMENSIONES</strong><br />Ancho 73,3 Cm<br />Alto 43,6 Cm<br />Profundidad 7,7 Cm<br /><br />2 puertos USB con reproducci&oacute;n multimedia <br />3 entradas HDMI <br />Incluye sintonizador de TV Digital Abierta e interactividad con Ginga.ar |</p>"
6,SMART TV RCA 65 PULAGADAS 4K UHD G65P8UHD,395719.0,395719,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,39445,https://portal.vtexcommercestable.com.br/smart-tv-rca-65-pulagadas-4k-uhd-g65p8uhd/p,5,"<p><span>Google Assistant</span><br /><span>Un asistente personal listo para facilitar tu vida. Hacele preguntas y pedirle que complete tu agenda. Es tu Google personal y siempre est&aacute; listo para ayudarte. Buscar el contenido que te interesa y organiza tu d&iacute;a.</span></p> <p></p> <p><br /><span>Chromecast Integrado</span><br /><span>Los nuevos Google TV de RCA con Chromecast integrado te permiten, utilizando tu dispositivo m&oacute;vil o tablet, enviar a la pantalla grande tu contenido favorito.</span></p> <p></p> <p><br /><span>Dolby VISION y Dolby ATMOS</span><br /><span>Disfruta de la emoci&oacute;n del cine en casa. Dolby Vision llena de realismo las escenas para ofrecer una visualizaci&oacute;n autentica, mientras que Dolby Atmos inunda la sala con un sonido Surround envolvente.</span></p> <p></p> <p><br /><span>Inteligencia Artificial</span><br /><span>Utiliza la experiencia del usuario para ir ofreci&eacute;ndote contenido seg&uacute;n tu inter&eacute;s, basado principalmente en el historial de tus reproducciones.</span></p> <p></p> <p><br /><span>Bluetooth</span><br /><span>Gracias al bluetooth podes vincular el Google TV con otros dispositivos de audio o m&oacute;viles que haya en la casa o en la oficina, pudiendo trabajar o entretenerte de una manera mas pr&aacute;ctica y sin cables.</span></p> <p></p> <p><br /><span>Micro Dimming</span><br /><span>Optimiza la calidad de imagen. El micro Dimming divide la pantalla en zonas garantizando una mejora del contraste y la nitidez y los niveles de color controlando la iluminaci&oacute;n de panel. Hace las luces m&aacute;s claras y las sombras m&aacute;s oscuras.</span></p> <p></p> <p><br /><span>HDR</span><br /><span>Todo tu contenido con m&aacute;s claridad y color, mejor nitidez, mayor rango din&aacute;mico, mayor rango de color y detalles de imagen m&aacute;s claros. im&aacute;genes m&aacute;s reales.</span></p> <p></p> <p><br /><span>Google Play</span><br /><span>Descarga y disfruta todas las aplicaciones para usar en tu Android TV RCA. Juegos, pel&iacute;culas, m&uacute;sica y muchas mas desde la comodidad de tu casa.</span></p>"
7,"Smart TV LED 50"" Hitachi CDH-LE504KSMART26-F 4K UHD",223999.0,223999,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,40570,https://portal.vtexcommercestable.com.br/smart-50-hitachi-le504ksmart26/p,12,"<p><span>Televisor Smart LED Google. Pantalla de 50"" 4K UHD (3840x2160). Frecuencia de barrido 60 Hz. Radio contraste 5000:1. Contraste dinamico. Brillo 260 CD/M2. Potencia 2 x 9.5W. Salidas de audio. Conexiones: Wifi 2.4GHz/5GHz dual-band. Bluetooth 5.0. HDMI x 3 (HDMI 2.1 apto Play Station &amp; HDMI 1.4). 1 USB 2.0. Sonido Dolby audio MS12Y. Medidas con base (alt, anch, prof) 70 x 111.2 x 26.5cm. Incluye base y control remoto.</span></p> <p><span>SMART LED TV 4K ULTRA HD 50"". Google TV. Wifi 2.4GHz/5GHz dual-band Wi-Fi 802.11. Sistema operativo Android. Frameless (sin bordes). Google Play. Netflix. YouTube. Spotify.&nbsp;&nbsp;Bluetooth &amp; Chromecast integrado. Disney Plus. Control por Voz (al control remoto).</span></p> <p>Dimension con soporte: 111,2 x 26,5 x 70 cm</p> <p>Peso con soprote: 8,4kg</p> <p></p>"
8,"Soporte de pared para reproductor de DVD, Blu-Ray y consola de juegos SPL-970a",14902.99,21239,/Tecnología/TV Y VIDEO/ACCESORIOS DE TV Y VIDEO/,1425,https://portal.vtexcommercestable.com.br/soporte-de-pared-para-reproductor-de-dvd-blu-ray-y-consola-de-juegos-spl-970a/p,6,"Soporte de pared para reproductor de DVD, Blu-Ray y consola de juegos SPL-970a"
9,SMART TV 50 PULGADAS TCL GOOGLE 4K L50P735,239999.0,239999,/Tecnología/TV Y VIDEO/TV LED Y SMART TV/,37880,https://portal.vtexcommercestable.com.br/smart-tv-50-pulgadas-tcl-google-4k-l50p735/p,8,"<p><span style=""text-decoration: underline;""><strong>Mira detalle a detalle</strong></span><span style=""text-decoration: underline;""><strong></strong></span></p> <p><span style=""text-decoration: underline;""><strong></strong></span></p> <p class=""desc left fadeIn2 fadeInupout active"">Alto Rango Ddin&aacute;mico (HDR), es el &uacute;ltimo est&aacute;ndar para contenidos UHD, brinda una experiencia superior con un brillo sorprendente, detalles de sombras excepcionales y colores vivos. Si&eacute;ntese y disfrute de incre&iacute;bles detalles de imagen tal como los cineastas pretend&iacute;an.</p> <p class=""desc left fadeIn2 fadeInupout active""></p> <p class=""desc left fadeIn2 fadeInupout active""></p> <p class=""desc left fadeIn2 fadeInupout active""><span style=""text-decoration: underline;""><strong>M&aacute;s de mil millones de colores</strong></span></p> <p class=""desc left fadeIn2 fadeInupout active""><span style=""text-decoration: underline;""><strong></strong></span></p> <p class=""desc left fadeIn2 fadeInupout active"">Lo que usted tiene al frente es un televisor que puede mosrar una paleta de colores m&aacute;s amplia hasta un 90 % de la gama bajo el est&aacute;ndar DCI-P3. Al igual que cuando ves a trav&eacute;s de un caleidoscopio para presenciar el mundo de los colores.</p> <p class=""desc left fadeIn2 fadeInupout active""></p> <p class=""desc left fadeIn2 fadeInupout active""></p> <p class=""desc left fadeIn2 fadeInupout active""><span style=""text-decoration: underline;""><strong>El entretenimiento que amas con la ayuda de Google</strong></span></p> <p class=""desc left fadeIn2 fadeInupout active""><span style=""text-decoration: underline;""><strong></strong></span></p> <p class=""desc left fadeIn2 fadeInupout active"">Mira m&aacute;s de 700&nbsp;000 pel&iacute;culas y episodios de TV en un solo lugar. Google TV trae tus contenidos favoritos de todas tus aplicaciones y suscripciones y los organiza solo para ti.</p> <p class=""desc left fadeIn2 fadeInupout active""></p> <p class=""desc left fadeIn2 fadeInupout active""></p> <p class=""desc left fadeIn2 fadeInupout active""><span style=""text-decoration: underline;""><strong>Tu televsor te ayuda m&aacute;s que nunca</strong></span></p> <p class=""desc left fadeIn2 fadeInupout active""></p> <p class=""desc left fadeIn2 fadeInupout active"">P&iacute;dale a Google que busque pel&iacute;culas, transmita aplicaciones, reproduzca m&uacute;sica y controle el televisor, todo con su voz. Incluso ofrece respuestas, controla dispositivos dom&eacute;sticos inteligentes, etc.</p>"
